premise,entailment,contradiction,ent_score,contra_score,margin
A group is gathered outside holding flowers.,Their hands are holding something,They throw the cannonballs away,0.378244,0.099349,0.278895
"A woman is standing near the water, looks to be throwing something.",A woman is close to the water.,The man is standing near the water.,0.670426,0.411964,0.258462
A little boy bowls in a carpeted hallway.,A boy is bowling.,A boy is skipping rope.,0.567255,0.216463,0.350792
A young blond woman with braided pigtails and wearing blue biking gear is bicycle racing along a dirt track.,A young blond girl is riding a bike.,A young blond girl is laying in bed.,0.600544,0.251434,0.349110
A little boy wearing a blue stiped shirt has a party hat on his head and is playing in a puddle.,The party boy is playing in a puddle.,The little boy is taking the bus to school.,0.771624,0.220020,0.551604
A girl in red dividing colored tabs.,Girl in red dividing colored tabs.,Girl in blue chewing on paper.,0.991103,0.441743,0.549361
A young girl kisses a ring-bearing boy at a wedding.,Two kids are dressed for a wedding.,Two kids are playing tag.,0.541677,0.189491,0.352186
A man with black pants on walks by a wall with unique art painted on it.,A man is near a structure.,A man is in outer space.,0.377325,0.228866,0.148459
A woman is riding a blue bicycle in a park.,A woman cycling around in the park,A woman jogging around the park,0.792166,0.569886,0.222281
"A well built black man stands in the subway, listening to headphones.",A man with headphones on is standing in a subway.,A man is dancing for tips on the street.,0.861201,0.153082,0.708119
A woman is holding a baby by a window.,There is a baby in the picture.,The woman's hands are empty.,0.571890,0.303420,0.268470
A man and woman are sitting at a table in front of a sign that reads IL PORTO and two wine bottles and two wineglasses are on the table.,Two people are ingesting alcohol.,Two teetotalers prepare for dinner.,0.368456,0.324412,0.044044
Two men wrestle on the floor in front of an group of young men.,Two men are wrestling on the floor.,Two men walk to their favorite casino.,0.839937,0.247007,0.592930
Rugby player lifted to attempt a score against a red team defending.,the player tries to score,chess match turns violent,0.576927,0.251107,0.325820
A woman wearing a white baseball cap purple coat holding a poster.,A woman with a hat holding a poster.,A woman with no hat sits in the stands.,0.836186,0.294234,0.541952
A little girl in a red flowered dress with a tennis racket.,A little girl in red.,A man in red.,0.619539,0.186596,0.432943
A boy rides on a camel in a crowded area while talking on his cellphone.,A boy is riding an animal.,A boy is riding on an elephant through the streets.,0.574196,0.546064,0.028132
"There are three men in this picture, two are on motorbikes, one of the men has a large piece of furniture on the back of his bike, the other is about to be handed a piece of paper by a man in a white shirt.",A man is receiving a piece of paper.,Three men are on motorcycles.,0.409964,0.670916,-0.260952
Two black dogs are frolicking around the grass together.,Two dogs play in the grass.,Two dogs swim in the lake.,0.732876,0.316357,0.416519
A young girl wearing a pink coat plays with a yellow toy golf club.,A girl is playing.,A girl is wearing a blue jacket.,0.632543,0.399554,0.232989
A man wearing a yellow striped shirt laughs while seated next to another man who is wearing a light blue shirt and clasping his hands together.,Two men sitting together.,Two mimes sit in complete silence.,0.553772,0.225942,0.327830
Two men dressed in black practicing martial arts on a gym floor.,Two men are doing martial arts.,Two men are dancing.,0.737621,0.417634,0.319987
A young man in a white and pink striped shirt is riding in a horse and buggy down a paved road.,A man is riding a horse,A woman is riding a car,0.609879,0.079360,0.530519
The woman is holding up the line with the fish that she caught in the lake with her bamboo fishing pole.,The woman is fishing.,The woman is hunting for elk.,0.722917,0.309289,0.413629
"A woman wearing gray pants, a white blouse and a black vest is jumping with one hand in the air as she goes through an indoor stadium.",The jumping lady in slacks also has her hand raised.,The girl wearing a dress skips down the sidewalk.,0.532857,0.166190,0.366667
A shirtless man wearing a black hat and a scarf works on an anvil.,A man works with an anvil.,A woman falls over an anvil.,0.717647,0.328004,0.389643
A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass.,a woman holds a glass,a woman is sleeping,0.557267,0.201282,0.355985
A soldier is handing a picture to a woman holding a Donald Duck bag.,A soldier hands a woman a picture.,A man loads a gun.,0.771544,0.226306,0.545238
A young boy in a gray and white striped shirt is playing guitar.,A kid is playing the guitar.,A boy is talking on the phone.,0.757805,0.324156,0.433649
Professional women at the registration table of an event while men in suits look on.,People gather for an event.,People are partying.,0.518178,0.329602,0.188576
A male soccer player has his foot extended as if he has just kicked the soccer ball while the ball flies through the air.,The man is outside.,The man is laying on the couch.,0.295734,0.101494,0.194239
A man and a girl are both looking at something of interest.,Something catches the eye of a man and girl,A girl sleeps in her moms lap,0.732847,0.027953,0.704893
A woman walks on a sidewalk wearing a white dress with a blue plaid pattern.,The woman is walking outside.,The woman is wearing jeans.,0.650509,0.399764,0.250746
A man doing maintenance on the railroad tracks,There is a man working on the railroad tracks.,There is a woman doing work on the railroad tracks.,0.889251,0.599540,0.289711
Dog standing in grassy sand dune.,A dog stands in sand near grass.,A basset hound runs by a park bench.,0.871462,0.294137,0.577324
People protesting ICE raids in front of a school.,A group of people are participating in a protest.,Some men are helping a woman fix her car.,0.600085,0.025000,0.575084
Two people work construction on the inside of a house.,Two people work inside.,The people are outside,0.793985,0.321207,0.472778
There is a large group of people in front of Papa John's restaurant.,The people are outside of the restaurant.,The group of friends are sitting inside the restaurant.,0.548858,0.355346,0.193511
A crowd watches a group of people dressed in yellow shirts perform.,Spectators watching a performance.,Spectators watching a group of dolphins perform.,0.628168,0.497679,0.130489
A woman in black clothing runs down the street barefoot next to two people on bicycles and a female runner.,The woman is outdoors.,The woman is walking down the street with high heels.,0.431288,0.441000,-0.009712
A man in a Santa Claus costume is sitting on a wooden chair holding a microphone and a stringed instrument.,The man is wearing a costume.,The man is swimming at the beach.,0.565295,0.007877,0.557418
A person dressed in red and black outside a cracked wall.,A person in red and black near a wall.,A person in red and black falling through the ionosphere.,0.769527,0.416797,0.352729
Two brown-haired men wearing short-sleeved shirts and shorts are climbing stairs.,The men are together.,The men have blonde hair.,0.488255,0.457076,0.031179
"A young couple sit on the couch, the woman wearing a blue work shirt, her eyes half closed, while the man sits with his arm around her, looking towards the camera, in a gray shirt.",A couple sit on the couch,Two brothers sit on the couch,0.710395,0.464371,0.246024
A medium sized brown dog jumping,The brown dog jumps up and down.,A small dog crouches under a porch.,0.794153,0.420683,0.373469
"A man in a white button up shirt, and a man in a brown button up shirt discussing something over a table of food.",Two guys having a conversation.,Two men playing a game of darts at a bar.,0.491090,0.237853,0.253236
Woman being photographed near a bicycle.,Someone is shooting a photo.,Three people are riding bicycles down a lane.,0.460763,0.283419,0.177344
"On the sidewalk, near the store's entrance, a local entertains all, by playing the accordion.",A local is playing an accordion.,The man is playing a guitar.,0.707230,0.159817,0.547413
Several bicycles parked and a couple walking together.,Two people are near some bicycles.,Several bicycles lie smashed on the ground and a couple stands holding sledgehammers.,0.694459,0.499988,0.194471
A man is on the ground taking his shirt off as a crowd watches.,The crowd watches a person take off his shirt.,The crowd watches a gymnast on the uneven bars.,0.820608,0.401671,0.418936
"A black dog is drinking next to a brown and white dog that is looking at an orange ball in the lake, whilst a horse and rider passes behind.","Two dogs near a lake, while a person rides by on a horse.","Two dogs run together through a park, chasing toys as they are thrown.",0.630477,0.330349,0.300128
A young man in black pants and a gray shirt holds a skateboard with colorful decals upright while sitting on a gray stone block.,The person is seated on a rock.,The person is walking through a crowd.,0.352005,0.101933,0.250073
"A toddler dressed only in a pamper is sitting on the floor playing with 4 ""car"" pieces to a train set.",A child plays with a train set.,People look for a lost dog.,0.687870,-0.040836,0.728706
"Two teams of children, one green the other red, play each other in a game of Rugby while it rains.","The childrens rugby teams, red versus green are playing in the rain.",The children are wearing red and green to practice thier Christmas show.,0.903955,0.457802,0.446153
"Five Women, wearing beautiful, colorful saris, in a circle, dancing with their hands raised and touching.",There are five women close to each other.,The women have their hands by their side.,0.657665,0.534106,0.123559
Five little boys are playing baseball.,A few little boys playing baseball outside.,A group of boys playing basketball.,0.829549,0.449929,0.379620
"A man in yellow, white, and blue bicycle clothing and helmet grimaces as he rides his bicycle.",A man is riding a bicycle.,A girl is riding a roller coaster.,0.600831,0.058848,0.541983
Two older men standing in front of a store of sorts.,two older men stand,two young men play baseball,0.782751,0.325340,0.457411
Two women playing field hockey on AstroTurf.,Women playing a game of field hockey.,Women re-sod a field hockey field.,0.833556,0.756548,0.077007
A goalie tries to catch a ball during a soccer game.,a goalie is doing his job as a goalie.,the goalie quit during the game.,0.696396,0.561733,0.134663
A woman wearing a red dress and head covering is standing outside of a building.,A woman is outside.,A woman is in an airport.,0.594172,0.277291,0.316881
A man in his own world of him and his music just entertaining on the street corner.,A man is on a street corner.,A man is eating at a local diner.,0.600201,0.205469,0.394732
A man in an orange vest is on the sidewalk playing a guitar and singing while others are walking down the sidewalk.,A man is playing a guitar on the sidewalk and singing.,A man is in a purple bathrobe is inside his home cooking breakfast.,0.778577,-0.023432,0.802008
a man doing tricks on a motorcycle,A guy does stunts on a motorbike.,A man drives a speedboat.,0.771583,0.277191,0.494393
A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass.,A women in black drinks.,A child is sitting on a bar stool.,0.383506,0.050098,0.333408
A group of children playing and having a good time.,The kids are together.,The children are reading books.,0.728298,0.369736,0.358562
"Inside the igloo, the young man gets ready for his overnight stay.",The young man gets ready for his overnight stay.,The young man gets ready to leave.,0.749684,0.566478,0.183206
Two female basketball teams watch suspenseful as the basketball nears the basket.,Two teams are following the movement of a basketball.,Two female teams are leaving the court after a basketball game.,0.650244,0.640602,0.009642
A group of girls ride an ATV.,Girls ride ATVs.,Girls ride their skateboards to the store.,0.938206,0.438414,0.499792
Man in brown and red checkered button up shirt and blue jeans makes a male and female laugh.,A person in casual clothing is causing two others to be merry.,A flight attendant is demonstrating airplane safety but no one is paying attention.,0.328196,0.094692,0.233504
A girl with a purple sweater and a green headband is doing classwork in a classroom.,A girl is doing work in a classroom.,A boy is scratching his name into his desk.,0.794293,0.157887,0.636406
A young boy is looking into a silver cellphone while resting his light brown-haired head on top of a resting blond dog's head.,A person looking,Nobody is looking,0.366807,0.092753,0.274054
The man is walking the bride down the aisle.,A guy is participating in a wedding.,A man is hitting his wife.,0.579586,0.234727,0.344859
Three people are kayaking in dark waters.,Three people are in a boat.,Three people are learning to use pogo sticks.,0.635928,0.211402,0.424527
Two children standing in the grass being sprayed by a hose.,Children are getting hosed down on the grass,Children are playing tag in the grass,0.793463,0.547949,0.245514
A crowd on a city street watches a man flipping in the air.,The man is doing tricks.,The man is doing stunts in the countryside for farmers.,0.388105,0.237410,0.150695
Two brown dogs with green harnesses play tug-of-war.,There are dogs playing together,Some dogs are swimming in a river,0.700682,0.294032,0.406650
"Guy in a dark suit, with a cigarette in his right hand while talking on the phone.",The guy has on a suit smoking a cig and talking on the phone.,A women in a bright suite with a cig is talking on the phone.,0.815835,0.431382,0.384453
There are two people running around a track in lane three and the one wearing a blue shirt with a green thing over the eyes is just barely ahead of the guy wearing an orange shirt and sunglasses.,Two people run around a track.,Two people drive around a track.,0.763846,0.673057,0.090789
A young adolescent is jumping into a pool.,The child is diving in the pool.,The child is scared to jump in the water.,0.561643,0.537875,0.023768
"A young man and young woman wearing backpacks are placing or removing an item from an old white tree snag, with other people standing or sitting in the background.",a man and woman with backpacks,an eagle flies,0.601395,0.077826,0.523570
A woman stands at a podium with a slide show behind her.,A woman is standing at a podium.,A girl is eating at the cafeteria.,0.832439,0.055575,0.776864
A surfer is surfing catches a wave.,A surfer catches a wave.,A surfer walks to the hot dog truck.,0.969208,0.399403,0.569805
A man sleeping on the ground in a subway.,There is a man on the ground.,The man is sitting in his warm house.,0.548592,0.237461,0.311130
Two girls play with origami.,The girls hold paper,The girls eat the paper,0.414324,0.382044,0.032280
A photographer snaps a midair action shot of a snowboarder.,The photographer has a camera.,The midair shot snaps at a boarder of snow.,0.654941,0.808736,-0.153795
A man standing in front of a brick building.,A man is outside.,The man pushes a women on the ground.,0.539739,0.174962,0.364777
An adult ballerina shows you children how to dance.,A ballerina is teaching kids ballet.,The ballerina is sitting down judging the children's dancing.,0.777895,0.697641,0.080254
People in orange robes line up behind a man wearing sunglasses.,People line up behind a one other person.,People are playing basketball.,0.595975,0.076399,0.519576
Two Children playing baseball at the park.,Children playing baseball.,Two children lighting matches in their room.,0.821750,0.378646,0.443104
Two people are sitting next to a wood-stacked campfire at night.,People are sitting outside at night.,The sun is shining brightly on the people.,0.630949,0.288739,0.342211
A young girl in a white summer dress walks the outer edges of a large park fountain.,The girl is wearing a white dress.,The girl is sitting by the fountain.,0.527860,0.476119,0.051742
An older man sitting on a stool on the sidewalk playing a violin.,An old man plays the violin on the sidewalk.,A woman performs a comedy routine in a club.,0.828258,0.032901,0.795356
2 woman walking down the street next to graffiti,The woman are by grafitti.,The 2 woman are running.,0.511990,0.407216,0.104773
An older man is standing outside in front of a truck.,A man is on his feet.,A disabled man is in a wheelchair.,0.402321,0.318683,0.083638
"A guy singing on stage with a cool black shirt, while turning his microphone to the audience so they can sing along.",A guy is singing on stage along with the audience.,A guy is telling a joke on stage.,0.872670,0.535307,0.337363
A hot-air balloon getting filled.,A hot-air balloon is being operated on.,A hot-air balloon is flying over a mountain range.,0.850257,0.612554,0.237703
"This crib contains a baby, stuffed animals, a box of matches, a cordless drill, a paperback novel, and a blanket.",The baby is in the crib.,The boy is napping in the highchair.,0.589517,0.055763,0.533754
A man in a yellow shirt does East Asian calligraphy.,A man does calligraphy.,A man does graffiti.,0.758480,0.417978,0.340502
Two girls talk at an ice skating rink.,Two girls are near the ice.,Two women compete in a speed skating race.,0.735771,0.463026,0.272745
A group of people standing in front of a club.,A group of people in front of a club.,There are seven people leaving the club.,0.939242,0.524538,0.414705
Balding man in gray sweater plays with his dog.,A man is with an animal.,A man puts the sweater he knitted on a dog.,0.541557,0.531712,0.009845
"The small girl is sitting in a harness, strapped to a tether, while others watch.",There is a girl in a harness.,A little girl is riding a bicycle on a tightrope.,0.710928,0.425329,0.285599
A black dog runs with a deflated ball and a tiny tire.,A dog with a ball.,A cat eats tuna.,0.649856,-0.000819,0.650675
People are walking along the street.,Humans beings are ambling down a road.,People are skipping down a street.,0.546880,0.593054,-0.046174
A man is sitting in a chair and looking at something that he is holding.,A man is sitting down looking at something.,A man is sleeping.,0.806384,0.127417,0.678967
An old women in a purple skirt is gardening with a old tool.,There is a woman wearing purple outside.,A woman is cooking in the kitchen.,0.579471,0.260645,0.318826
Two girls are on a street sidewalk and one is sitting.,girls are on the sidewalk,the street is empty,0.780313,0.268780,0.511533
Women are standing outside,There are muliple women outdoors.,The women are seated in a bistro eating lunch.,0.753124,0.168409,0.584715
The man in black has a condom on his head.,The man is wearing a prophylactic on his head.,The man is wearing the condom on his foot.,0.565570,0.672824,-0.107254
A woman is holding one young children with another standing next to her while a man is sitting by a small campfire.,A woman is holding one young children with another standing next to her,A woman is holding one young chimp with another standing next to her,0.765887,0.503394,0.262493
A distant person is climbing up a very sheer mountain.,People are outside climbing.,The mountain is unclimbable for humans.,0.518460,0.477518,0.040942
Two girls and a guy are involved in a pie eating contest.,Three people are stuffing their faces.,Three people are drinking beer on a boat.,0.293916,0.105771,0.188145
A couple in bathing suits walk on a beach.,there is a couple,the couple are sitting inside,0.507133,0.297979,0.209154
A basset hound is tied to a doorway in an alley in front of a man and woman.,The dog is outside.,The dog is on the moon.,0.307188,0.199724,0.107464
A man in a plaid shirt and brown pants walking around town with one hand in his pocket.,The man is going for a walk.,The man has a white dress shirt on.,0.488501,0.285588,0.202913
A young man plays a racing video game.,a young man is staring at a screen,a young man is running outside,0.412096,0.538615,-0.126519
A man napping on the ground with a shirt over his eyes with a person standing beside him.,A sleeping man.,Two people engaged in conversation.,0.479514,0.226694,0.252820
A woman in a green skirt and white tank top singing into a microphone.,A woman sings.,A man sings.,0.726338,0.407052,0.319286
A man wearing blue jeans and a black shirt is talking to a man wearing white shorts while they are sitting outside in folding chairs on a patio.,a man wearing jeans,the men are inside the church,0.384010,0.160065,0.223945
A man with a gray shirt is rehearsing in front of a empty drum set.,A man practices in front of a drum set.,A man drinks bleach.,0.735545,0.121645,0.613900
A mom and son enjoying a day in the park.,A mom and son enjoying a day,A mom and son enjoying a day on mars,0.852842,0.721155,0.131687
A soccer game in a large area with 8 yellow players and 4 black players.,There is a soccer game with 12 players.,There is a basketball game in a cramped space.,0.706747,0.418177,0.288570
A child in shorts throws a snowball at a mountain.,The kid is playing outside,The kid is sleeping,0.574954,0.212924,0.362030
Four children are dressed as clowns and dancers on a stage while another two children dressed as clowns are suspended from ropes.,Six children are putting on a clown show.,Six children are eating a Thanksgiving meal.,0.727530,0.205328,0.522202
People are getting money our of an ATM.,People are getting money from an ATM.,People are in the check out line.,0.957382,0.415477,0.541905
Here is a picture of someone doing diagnostics on a vehicle in the dark.,Someone is looking at a vehicle.,They are driving the vehicle over a bridge.,0.690516,0.247060,0.443456
Young children and parents splashing around a public fountain.,There are families playing in a fountain,There are families eating lunch,0.737115,0.198266,0.538849
"A guy on a skateboard, jumping off some steps.",a guy with a skateboard making a jump,a guy on a bike,0.815812,0.458957,0.356856
A little girl in a purple cap blows soap bubbles.,There are soap bubbles being blown.,The brown cap flew off the head of the girl while she was jumping rope.,0.651565,0.321762,0.329803
A man and a woman is walking with a dog across a beach,The dog is walking.,The man and woman are alone.,0.403495,0.443703,-0.040208
A woman in a long-sleeved shirt checks her phone as a man in a leather jacket passes behind her.,She checks her phone.,A woman in a short-sleeved shirt.,0.634819,0.474188,0.160631
Two little girls play in a fountain.,There are girls outdoors,The girls are watching tv,0.582538,0.284006,0.298532
A boy is posing next to his scooter.,A boy is next to a scooter.,A boy is dancing with his friend.,0.892263,0.267957,0.624306
Closeup of an elderly woman walking across a street with her male companion.,People are outside.,People are walking along the beach.,0.343675,0.232891,0.110784
Two men wearing brown hats are doing work on a yellow house.,Two guys are doing work on a dwelling.,Two men are hitchhiking to New York.,0.709995,0.252455,0.457540
A man and woman and two small children are sitting in the floor with wrapped Christmas presents.,A man and woman are sitting around Christmas presents.,The presents have all been opened.,0.758020,0.487039,0.270981
A dog catching a Frisbee.,A dog playing with a toy.,A dog eating food.,0.615680,0.484360,0.131320
A football coach guiding one of his players on what he should do.,The coach knows how to play football.,The player already knew what he was doing.,0.732422,0.420663,0.311759
"Man donned in jeans and football jersey prepares a meal complete with mean and beer, at his kitchen counter as the sunlight pours in from the kitchen window.",A person is prepaing a meal during the day.,A man is taking a nap on the couch.,0.517071,0.213050,0.304021
A group of young women wearing black dresses stand in a row with three of them holding bouquets.,A group of women with flowers.,A group of women with flowers standing in a circle.,0.648221,0.605128,0.043093
A girl in a red dress and white sneakers bouncing a tennis ball with a tennis racket.,A girl is playing tennis.,A boy is playing tennis.,0.731776,0.462495,0.269282
A waitress is serving customers at a restaurant.,A waitress is doing her job at the restaurant.,The waitress is sitting in a chair ignoring the customers around her.,0.846779,0.571225,0.275554
A man and woman are pictured from behind sitting close together on a couch while they play Nintendo DS,A pair of people play video games together on a couch.,A pair of people walk the dog on the sidewalk.,0.687857,0.185499,0.502358
2 people in blue and purple costumes are looking at each other with a hill in the background.,2 people looking at one another,2 men drive a golf cart,0.672982,0.049577,0.623405
"A group of six people, men and women, hold up a pole in the middle of a forest while another woman monitors this action.",The group of people hold up a pole.,The group of people hold up a tire.,0.637109,0.353444,0.283664
A man and his two sons purchase food.,They are shopping.,They are playing basketball.,0.435052,0.061575,0.373477
A man is navigating a boat.,A man is on a water vehicle.,A man is steering his car down the highway.,0.574483,0.271536,0.302947
"Several people are walking on a street and there is a large, blue crane towering and leaning against a building.",Several people are walking on a street.,"Several people are sitting on the grass, watching a crane move heavy blocks.",0.661555,0.553245,0.108310
A man in a hard hat and orange safety vest works on a machine in smoky air.,A man is working on a machine.,Two dogs are fighting.,0.682117,-0.105344,0.787461
A young boy slides into home plate while playing little league baseball.,Boy playing baseball.,Children at waterpark splashing on hot day.,0.734180,0.150451,0.583729
A girl is sitting in a chair blowing up a large yellow party balloon.,A child blows up balloons.,Seven men sit in meditation in a Buddhist temple.,0.606747,-0.011775,0.618522
Three men gathered around a table of pink fish.,A bunch of people are gathered around a piece of furniture.,Three men are gathered in the living room on the couch.,0.348681,0.432761,-0.084081
"The tiny girl dressed in a butterfly ballet costume, waves her wand near a nutcracker statue.",A small girl dances ballet.,A young boy plays baseball.,0.660186,0.059634,0.600552
A young girl performing the nutcracker.,a child was there,the child is sleep,0.345651,0.165556,0.180094
Male crowd surfing at a concert.,A man is at a concert.,A man is at a football game.,0.663219,0.248553,0.414666
Blue bus parked with back door opened as man in white shirt walk by it.,Guy walks by bus.,A guy rides in his car to work.,0.615955,0.171472,0.444483
Someone holding a bag of oranges walking outside.,Someone is holding oranges and walking,Someone is juggling oranges,0.885367,0.469731,0.415636
A dog plays with a ball at the beach.,A dog plays ball.,A cat plays with a ball of string.,0.820793,0.453662,0.367131
"This is a picture of three young men, dressed in suits with one on a bike, and of a young lady wearing a white dress.",three guys in suits,a dog sleeps,0.607092,-0.162795,0.769887
A girl and boy are smiling in a green hallway.,People are standing in a hallway.,A girl and boy are wrestling on the front porch.,0.539143,0.350138,0.189005
A female dancer works on striking a pose.,The woman is practicing modeling.,The woman is in the bathroom.,0.494649,0.181948,0.312701
"A young girl sitting on a white comforter on a bed covered with clothing, holding a yellow stuffed duck.",A yellow duck being held by a girl.,The young girls plays with her cell phone.,0.487986,0.189719,0.298267
Three people are wading in shallow water near a stone path and spraying fountains.,Three people are wading in the water by the fountains.,Five men are swimming in the deep water.,0.834150,0.286752,0.547398
A baby smiles while swinging in a blue infant swing.,a baby smiling,the baby is asleep,0.702006,0.383597,0.318409
a girl at a wedding holding some orange flowers,A girl is holding some orange flowers at a wedding.,A man is painting a house blue.,0.986451,-0.014931,1.001382
There are three policemen on bikes making sure that the streets are cleared for the president.,Three policeman ride on bikes,Three girls sit on bikes,0.702801,0.319450,0.383351
The wrestler in white shorts is preparing to body slam his opponent in black shorts while the referee prepares to jump in.,The athletes are wrestling.,The boxers are pounding on each other as the ref watches.,0.539033,0.417158,0.121875
The surfer crouches low and rides the wave.,A person surfs.,The surfer stands tall and does a flip.,0.599670,0.598566,0.001104
Two people are walking down an isolated road.,People are walking outside.,Two people are jumping on a trampoline on a isolated road.,0.628182,0.603591,0.024591
"Person with a black helmet and vest, with a white undershirt, riding on a motorcycle on the street.",A person rides a motorcycle on the street.,A man drives his car to the fair.,0.724883,0.141570,0.583313
A brown kid wearing jeans and no shirt is weaving a straw rug.,The boy is using his hands to weave a rug.,The boy is sleeping.,0.617680,0.133041,0.484640
"A small child sits in the water, holding on to a bit of wood while smiling for a picture.",There is a child smiling for a picture.,A young child frowns at the camera.,0.684787,0.392852,0.291935
"Three women, two wearing red shirts and one wearing a purple shirt, and a man, wearing a light blue shirt, jump on a basketball court with balls in their hands.",Three people's are playing basketball and holds and ball in their hands,Three people's are eating in hotel.,0.638984,0.114897,0.524086
A young girl has her hands in a tub of water with leaves in it.,A girl with her hands in a tub.,A boy makes a mud pie.,0.848092,0.077364,0.770728
Two toddler girls appear to enjoy basking on a pile of leaves as they smile for the camera.,Two toddlers play on a pile of leaves.,Two toddlers are fast asleep in their cribs.,0.718905,0.309906,0.408999
"A man in a red shirt is sitting at his desk with one leg on the desk, using a computer with two screens set up side by side.",A male is not sitting outside.,A female is walking to the park.,0.353066,-0.050265,0.403331
A dirt bike rider riding through the woods over logs.,The dirt bike rider is riding a dirt bike.,The dirt bike rider is on the beach.,0.624615,0.598655,0.025960
A girl is posing outside.,A girl is outside.,A girl is inside taking a picture.,0.804201,0.569662,0.234539
There is a room full of pictures all in the wall and a woman in a coat is looking back over her shoulders strangely.,a room with pictures,the room is empty,0.517743,0.254056,0.263687
A girl is feeding a goat.,They are outside.,The goat is really a spy.,0.006938,0.388344,-0.381406
Blurry people walking in the city at night.,People walking in the city,Seven people dancing in a nightclub.,0.615708,0.220725,0.394983
"A woman with short blond-hair smiling and singing into a microphone while a man in a striped shirt, further back, plays an acoustic guitar.",Two people are performing.,The cow jumped over the couch,0.536691,0.024969,0.511722
A group of people looking at menus in a white restaurant.,The people are inside.,The people are sleeping in their beds.,0.493417,0.050414,0.443003
A woman sits in a chair under a tree and plays an acoustic guitar.,A woman plays an acoustic guitar under a tree.,A woman is climbing a tree.,0.862260,0.427150,0.435110
A person is climbing and has nearly reached the sign at the top,a person outside,a man fishing,0.529874,0.174254,0.355620
Man juggling apples while sitting on a couch with another man on one side and a woman on the other.,Two men sitting near a woman.,Two men drop off their friend at her house.,0.374649,0.194817,0.179832
Two little girls and one little boy are running on the grass.,Three kids are running.,The kids are sitting down.,0.655195,0.315714,0.339481
A person crouches under a yellow umbrella on the beach.,There is an umbrella and a person on a beach.,There is a person sitting under a large tree.,0.760384,0.388625,0.371758
A boat docked on a river.,There's a dock,The boat is sinking,0.457228,0.581233,-0.124005
Man with black and white hair wearing a white shirt and long boots sweeps outside.,A man has black and white hair,The man is bald,0.593992,0.329527,0.264465
A group of young Asian men who are sans shirts and wearing identical black and white plaid pants with red belts are dancing and waving their arms in the air around a fire.,The men are close to fire.,The men are underwater.,0.593960,0.251284,0.342676
A woman with blond-hair is sitting at a table and talking to a man with glasses.,Two people converse at a table.,Two men read the paper at a cafe.,0.686237,0.090108,0.596128
"Two people, one in light jeans and a striped shirt, are playing pool.",The people play pool,the people are running,0.767994,0.261877,0.506117
A man is creating a sand painting on the floor.,A man is making art.,A woman destroys a sand painting.,0.678311,0.488615,0.189697
Football players on a field in front of a crowd.,There is a crowd,There are people watching football on tv,0.583990,0.549386,0.034604
A man plays mini-gold on the SportsCenter set while two others observe.,The man is being watched.,Two goldfish are riding bikes in a giant pile of mashed potatoes.,0.497144,0.218331,0.278813
Two dancers in azure appear to be performing in an alleyway.,A pair of people are in the alleyway.,A pair of dancers are sleeping on the sidewalk.,0.556345,0.467109,0.089236
A well safety equipment biker racing on the trail in a wooded area with number 569 on his bike,A biker races on the trail,A snowboarder falls,0.657540,0.163346,0.494193
Two monks are visiting a big city.,The monks are dressed in their robes enjoying the big city.,The monks are running down the dirt trail.,0.748415,0.449540,0.298875
A young girl in red pants looks at a window mannequin as people walk past.,A girl is in front of a window.,The girl is blind.,0.527022,0.377987,0.149035
A man curls up in an orange blanket on the street.,A man is holding a blanket outdoors.,A man is folding his blanket inside.,0.667175,0.481094,0.186082
Men playing football.,Some men are playing a game.,Some men sleep.,0.716377,0.328584,0.387793
"An African-American football player, wearing jersey number 12 for the University of Oklahoma, throws a football to his left.",A man throws a football.,The player throws the baseball to the umpire.,0.607526,0.361552,0.245975
Man wearing a mask of an old man.,A man wears a mask.,A man wears a green mask that turns him into a superhero.,0.768482,0.516156,0.252326
A band is playing on a stage while a lady sings.,A woman sings.,A woman fires a gun.,0.564254,0.184359,0.379895
A woman walks down the road in all black as she holds a red umbrella over her head in the rain.,The woman in black is walking through a rainstorm with her umbrella.,The woman in black is dancing in the rain without an umbrella.,0.828139,0.619976,0.208163
A light brown dog with his tail in the air jumps of a pontoon toward the water.,A dog jumps toward the water.,A cat is jumping in the air.,0.764959,0.300583,0.464376
An older couple is resting on a bench.,Two people are sitting next to each other.,A couple is walking in the park.,0.450712,0.332653,0.118059
A group of people in white uniforms doing a show in the middle of the street.,People are wearing white uniforms.,Dogs in costumes are juggling in the street.,0.750440,0.248241,0.502199
Man in leather jacket reading a book.,A man is reading,The jacket is fleece,0.706085,0.398452,0.307633
Three men converse in a crowd.,Three men are in a crowd,Three men talk while laying down,0.774982,0.608205,0.166777
"Two men one in orange shirt, who is ahead, and one in green shirt running a race.",Two men running in a race.,Two men playing soccer in the park.,0.780274,0.351485,0.428789
A person wearing a robe and a pointed hat is holding a basket of bananas.,A person has some fruit.,A person is wearing a flat hat.,0.586978,0.435758,0.151220
children are playing with a mortar and pistil,THe children are playing.,The kids are playing football,0.665960,0.325302,0.340658
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.,A number of boys are airborne at the beach.,A group of young men lay on their bellies at the beach.,0.514829,0.428508,0.086321
